m	n	phi	pmax	batch	rule	threads	t_max_min	mpw	t_mpw_s	error	mew	t_mew_s
3	1	0.5	0.1	5	Plurality	48	30	{0}	0.1663038730621338	no-error	(0,)	0.0718669891357421
3	1	0.5	0.1	5	2-approval	48	30	{0}	0.14191770553588867	no-error	(0,)	0.0691745281219482
3	1	0.5	0.1	5	Borda	48	30	{0}	0.13879776000976562	no-error	(0,)	0.0689396858215332
3	1	0.5	0.1	7	Plurality	48	30	{1}	0.1393122673034668	no-error	(1,)	0.0696113109588623
3	1	0.5	0.1	7	2-approval	48	30	{1}	0.1408848762512207	no-error	(1,)	0.0692834854125976
3	1	0.5	0.1	7	Borda	48	30	{1}	0.13995027542114258	no-error	(1,)	0.0703752040863037
3	1	0.5	0.1	9	Plurality	48	30	{0}	0.14467453956604004	no-error	(0,)	0.0699837207794189
3	1	0.5	0.1	9	2-approval	48	30	{0}	0.14529824256896973	no-error	(0,)	0.0701160430908203
3	1	0.5	0.1	9	Borda	48	30	{0}	0.14109420776367188	no-error	(0,)	0.0686264038085937
3	1	0.5	0.1	0	Plurality	48	30	{2}	0.1372356414794922	no-error	(2,)	0.068286657333374
3	1	0.5	0.1	0	2-approval	48	30	{2}	0.13931035995483398	no-error	(2,)	0.0725433826446533
3	1	0.5	0.1	0	Borda	48	30	{2}	0.13950395584106445	no-error	(2,)	0.0703637599945068
3	1	0.5	0.1	2	Plurality	48	30	{0}	0.13929200172424316	no-error	(0,)	0.0768909454345703
3	1	0.5	0.1	2	2-approval	48	30	{0}	0.14558076858520508	no-error	(0,)	0.070890188217163
3	1	0.5	0.1	2	Borda	48	30	{0}	0.14098024368286133	no-error	(0,)	0.0707747936248779
3	1	0.5	0.1	4	Plurality	48	30	{0}	0.14103245735168457	no-error	(0,)	0.0714631080627441
3	1	0.5	0.1	4	2-approval	48	30	{0}	0.14194822311401367	no-error	(0,)	0.073054552078247
3	1	0.5	0.1	4	Borda	48	30	{0}	0.1394336223602295	no-error	(0,)	0.0709168910980224
3	1	0.5	0.1	6	Plurality	48	30	{0}	0.14232611656188965	no-error	(0,)	0.0727498531341552
3	1	0.5	0.1	6	2-approval	48	30	{0}	0.14052414894104004	no-error	(0,)	0.0711977481842041
3	1	0.5	0.1	6	Borda	48	30	{0}	0.1420900821685791	no-error	(0,)	0.071054458618164
3	1	0.5	0.1	8	Plurality	48	30	{2}	0.1509864330291748	no-error	(2,)	0.0708942413330078
3	1	0.5	0.1	8	2-approval	48	30	{2}	0.13908624649047852	no-error	(2,)	0.0705752372741699
3	1	0.5	0.1	8	Borda	48	30	{2}	0.14288926124572754	no-error	(2,)	0.0726830959320068
3	1	0.5	0.1	1	Plurality	48	30	{0}	0.14031052589416504	no-error	(0,)	0.06974458694458
3	1	0.5	0.1	1	2-approval	48	30	{0}	0.13944339752197266	no-error	(0,)	0.0707037448883056
3	1	0.5	0.1	1	Borda	48	30	{0}	0.14249873161315918	no-error	(0,)	0.072171926498413
3	1	0.5	0.1	3	Plurality	48	30	{0}	0.14776158332824707	no-error	(0,)	0.0723652839660644
3	1	0.5	0.1	3	2-approval	48	30	{0}	0.14088654518127441	no-error	(0,)	0.0716757774353027
3	1	0.5	0.1	3	Borda	48	30	{0}	0.14513015747070312	no-error	(0,)	0.0739920139312744
4	1	0.5	0.1	0	Plurality	48	30	{1, 2}	0.1432201862335205	no-error	(1, 2)	0.0713262557983398
4	1	0.5	0.1	0	2-approval	48	30	{1, 2}	0.14514970779418945	no-error	(1, 2)	0.0709180831909179
