m	n	phi	pmax	batch	rule	threads	t_max_min	mpw	t_mpw_s	error	mew	t_mew_s
5	1	0.5	0.1	6	Borda	48	480	{2}	0.18025708198547363	no-error	(2,)	0.06612634658813477
5	1	0.5	0.1	8	Borda	48	480	{2}	0.13422107696533203	no-error	(2,)	0.06894540786743164
5	1	0.5	0.1	1	Borda	48	480	{1}	0.13558292388916016	no-error	(1,)	0.06554436683654785
5	1	0.5	0.1	3	Borda	48	480	{0}	0.13246750831604004	no-error	(0,)	0.06672954559326172
5	1	0.5	0.1	5	Borda	48	480	{1}	0.1350235939025879	no-error	(1,)	0.06653404235839844
5	1	0.5	0.1	7	Borda	48	480	{2}	0.13360333442687988	no-error	(2,)	0.0666494369506836
5	1	0.5	0.1	0	Borda	48	480	{0}	0.16014766693115234	no-error	(0,)	0.0670175552368164
5	1	0.5	0.1	9	Borda	48	480	{1}	0.134751558303833	no-error	(1,)	0.06715869903564453
5	1	0.5	0.1	2	Borda	48	480	{0}	0.13561272621154785	no-error	(0,)	0.06777215003967285
5	1	0.5	0.1	4	Borda	48	480	{0}	0.13548874855041504	no-error	(0,)	0.06766104698181152
5	2	0.5	0.1	7	Borda	48	480	{0}	0.27292609214782715	no-error	(0,)	0.06771326065063477
5	2	0.5	0.1	0	Borda	48	480	{0}	0.2751185894012451	no-error	(0,)	0.06916356086730957
5	2	0.5	0.1	9	Borda	48	480	{2}	0.2713453769683838	no-error	(2,)	0.0688319206237793
5	2	0.5	0.1	2	Borda	48	480	{0}	0.28353261947631836	no-error	(0,)	0.0681915283203125
5	2	0.5	0.1	4	Borda	48	480	{2}	0.2798776626586914	no-error	(2,)	0.06969523429870605
5	2	0.5	0.1	6	Borda	48	480	{1}	0.28344297409057617	no-error	(1,)	0.06854367256164551
5	2	0.5	0.1	8	Borda	48	480	{2}	0.28173828125	no-error	(2,)	0.07163333892822266
5	2	0.5	0.1	1	Borda	48	480	{0}	0.2901575565338135	no-error	(0,)	0.06882929801940918
5	2	0.5	0.1	3	Borda	48	480	{2, 4}	0.2811112403869629	no-error	(2, 4)	0.0672905445098877
5	2	0.5	0.1	5	Borda	48	480	{0, 1, 3}	0.2815887928009033	no-error	(0, 1, 3)	0.07059311866760254
3	5	0.5	0.1	4	Borda	48	480	{1}	0.7050747871398926	no-error	(1,)	0.0688316822052002
5	3	0.5	0.1	0	Borda	48	480	{4}	0.5083379745483398	no-error	(4,)	0.07307076454162598
5	3	0.5	0.1	9	Borda	48	480	{1}	0.5446431636810303	no-error	(1,)	0.07436108589172363
3	5	0.5	0.1	6	Borda	48	480	{0}	0.7236216068267822	no-error	(0,)	0.06951045989990234
5	3	0.5	0.1	2	Borda	48	480	{0}	0.5013117790222168	no-error	(0,)	0.07076263427734375
5	3	0.5	0.1	4	Borda	48	480	{0}	0.47733092308044434	no-error	(0,)	0.07400226593017578
5	3	0.5	0.1	6	Borda	48	480	{1}	0.4760308265686035	no-error	(1,)	0.07621026039123535
5	3	0.5	0.1	8	Borda	48	480	{1, 4}	0.5149238109588623	no-error	(0, 1, 3, 4)	0.07337355613708496
3	5	0.5	0.1	8	Borda	48	480	{1}	0.7251431941986084	no-error	(1,)	0.07057309150695801
5	3	0.5	0.1	1	Borda	48	480	{1}	0.5461306571960449	no-error	(1,)	0.07177114486694336
3	5	0.5	0.1	1	Borda	48	480	{0, 1}	0.7164971828460693	no-error	(0, 1)	0.06916117668151855
5	3	0.5	0.1	3	Borda	48	480	{0}	0.505871057510376	no-error	(0,)	0.0755150318145752
3	5	0.5	0.1	3	Borda	48	480	{1}	0.7241237163543701	no-error	(1,)	0.0710916519165039
3	5	0.5	0.1	5	Borda	48	480	{0}	0.7284040451049805	no-error	(0,)	0.07314753532409668
3	5	0.5	0.1	7	Borda	48	480	{0}	0.7366142272949219	no-error	(0,)	0.06959700584411621
3	5	0.5	0.1	0	Borda	48	480	{0}	0.7299034595489502	no-error	(0,)	0.06981658935546875
3	5	0.5	0.1	9	Borda	48	480	{0}	0.7133927345275879	no-error	(0,)	0.07131505012512207
5	3	0.5	0.1	5	Borda	48	480	{2}	0.5532183647155762	no-error	(2,)	0.07476210594177246
3	5	0.5	0.1	2	Borda	48	480	{0}	0.7439343929290771	no-error	(0, 1)	0.07032036781311035
5	3	0.5	0.1	7	Borda	48	480	{3}	0.5473182201385498	no-error	(3,)	0.07557916641235352
4	5	0.5	0.1	7	Borda	48	480	{0}	0.746281623840332	no-error	(0,)	0.07078266143798828
5	4	0.5	0.1	5	Borda	48	480	{1}	0.9072158336639404	no-error	(1,)	0.0805511474609375
4	5	0.5	0.1	0	Borda	48	480	{2}	0.7792048454284668	no-error	(2,)	0.07783341407775879
4	5	0.5	0.1	9	Borda	48	480	{2}	0.7604336738586426	no-error	(2,)	0.07591891288757324
5	4	0.5	0.1	7	Borda	48	480	{1}	0.9899256229400635	no-error	(1,)	0.08102655410766602
4	5	0.5	0.1	2	Borda	48	480	{0}	0.7755851745605469	no-error	(0,)	0.07319998741149902
5	4	0.5	0.1	0	Borda	48	480	{0}	0.8583464622497559	no-error	(0,)	0.07835054397583008
5	4	0.5	0.1	9	Borda	48	480	{1}	0.9822101593017578	no-error	(1,)	0.08066987991333008
4	5	0.5	0.1	4	Borda	48	480	{0}	0.7950780391693115	no-error	(0,)	0.07675623893737793
5	4	0.5	0.1	2	Borda	48	480	{1}	1.0376296043395996	no-error	(1,)	0.08040571212768555
4	5	0.5	0.1	6	Borda	48	480	{0}	0.8071744441986084	no-error	(0,)	0.07986044883728027
4	5	0.5	0.1	8	Borda	48	480	{0}	0.8024547100067139	no-error	(0,)	0.07638216018676758
4	5	0.5	0.1	1	Borda	48	480	{0}	0.7793788909912109	no-error	(0,)	0.07616329193115234
5	4	0.5	0.1	4	Borda	48	480	{0}	0.9475810527801514	no-error	(0,)	0.0819544792175293
5	4	0.5	0.1	6	Borda	48	480	{0}	0.7633793354034424	no-error	(0,)	0.0822288990020752
5	4	0.5	0.1	8	Borda	48	480	{1}	1.0995323657989502	no-error	(1,)	0.08367776870727539
4	5	0.5	0.1	3	Borda	48	480	{1}	0.814683198928833	no-error	(1,)	0.0811610221862793
5	4	0.5	0.1	1	Borda	48	480	{1}	1.0933499336242676	no-error	(1,)	0.08376193046569824
4	5	0.5	0.1	5	Borda	48	480	{1}	0.8121218681335449	no-error	(1,)	0.07794785499572754
5	4	0.5	0.1	3	Borda	48	480	{0}	0.9605097770690918	no-error	(0,)	0.08297085762023926
5	5	0.5	0.1	5	Borda	48	480	{0}	2.0485270023345947	no-error	(0,)	0.09030938148498535
5	5	0.5	0.1	7	Borda	48	480	{1}	2.2606914043426514	no-error	(1,)	0.0843043327331543
5	5	0.5	0.1	0	Borda	48	480	{4}	2.064547538757324	no-error	(4,)	0.08499574661254883
5	5	0.5	0.1	9	Borda	48	480	{1}	1.3979792594909668	no-error	(1,)	0.08430910110473633
5	5	0.5	0.1	2	Borda	48	480	{0}	1.7767157554626465	no-error	(0,)	0.08694839477539062
5	5	0.5	0.1	4	Borda	48	480	{0}	2.1740479469299316	no-error	(0,)	0.08667397499084473
5	5	0.5	0.1	6	Borda	48	480	{0}	1.2433993816375732	no-error	(0,)	0.0890495777130127
5	5	0.5	0.1	8	Borda	48	480	{0, 1}	2.209444046020508	no-error	(0, 1)	0.08420228958129883
5	5	0.5	0.1	1	Borda	48	480	{0}	1.6373546123504639	no-error	(0,)	0.08224225044250488
5	5	0.5	0.1	3	Borda	48	480	{3}	2.171243190765381	no-error	(3,)	0.08652353286743164
5	6	0.5	0.1	6	Borda	48	480	{0}	3.300868511199951	no-error	(0,)	0.08953619003295898
6	5	0.5	0.1	3	Borda	48	480	{1}	121.70768404006958	no-error	(1,)	0.18304109573364258
5	6	0.5	0.1	8	Borda	48	480	{0}	4.184447526931763	no-error	(0,)	0.1879434585571289
5	6	0.5	0.1	1	Borda	48	480	{0}	4.539931297302246	no-error	(0,)	0.19173216819763184
5	6	0.5	0.1	3	Borda	48	480	{2}	5.499890327453613	no-error	(2,)	0.2086944580078125
5	6	0.5	0.1	5	Borda	48	480	{0}	4.313170909881592	no-error	(0,)	0.19045424461364746
6	5	0.5	0.1	5	Borda	48	480	{0}	59.707186222076416	no-error	(0,)	0.18240761756896973
