m	n	phi	pmax	batch	rule	threads	t_max_min	mpw	t_mpw_s	error	mew	t_mew_s
5	1	0.5	0.1	6	Borda	48	480	{2}	0.19854474067687988	no-error	(2,)	0.07141733169555664
5	1	0.5	0.1	8	Borda	48	480	{2}	0.1380000114440918	no-error	(2,)	0.07404899597167969
5	1	0.5	0.1	1	Borda	48	480	{1}	0.1417851448059082	no-error	(1,)	0.06662249565124512
5	1	0.5	0.1	3	Borda	48	480	{0}	0.1387624740600586	no-error	(0,)	0.06743335723876953
5	1	0.5	0.1	5	Borda	48	480	{1}	0.13858699798583984	no-error	(1,)	0.0697624683380127
5	1	0.5	0.1	7	Borda	48	480	{2}	0.14426159858703613	no-error	(2,)	0.0694894790649414
5	1	0.5	0.1	0	Borda	48	480	{0}	0.17510104179382324	no-error	(0,)	0.06966829299926758
5	1	0.5	0.1	9	Borda	48	480	{1}	0.14306640625	no-error	(1,)	0.07651281356811523
5	1	0.5	0.1	2	Borda	48	480	{0}	0.14547467231750488	no-error	(0,)	0.07221078872680664
5	1	0.5	0.1	4	Borda	48	480	{0}	0.1416158676147461	no-error	(0,)	0.07350301742553711
5	2	0.5	0.1	7	Borda	48	480	{0}	0.2892301082611084	no-error	(0,)	0.07050347328186035
5	2	0.5	0.1	0	Borda	48	480	{0}	0.29658985137939453	no-error	(0,)	0.07621455192565918
5	2	0.5	0.1	9	Borda	48	480	{2}	0.2885110378265381	no-error	(2,)	0.0702202320098877
5	2	0.5	0.1	2	Borda	48	480	{0}	0.3024883270263672	no-error	(0,)	0.07223105430603027
5	2	0.5	0.1	4	Borda	48	480	{2}	0.29406166076660156	no-error	(2,)	0.0701756477355957
5	2	0.5	0.1	6	Borda	48	480	{1}	0.28792357444763184	no-error	(1,)	0.06890010833740234
5	2	0.5	0.1	8	Borda	48	480	{2}	0.29036760330200195	no-error	(2,)	0.06731891632080078
5	2	0.5	0.1	1	Borda	48	480	{0}	0.2994849681854248	no-error	(0,)	0.06984543800354004
5	2	0.5	0.1	3	Borda	48	480	{2, 4}	0.2971985340118408	no-error	(2, 4)	0.07044410705566406
5	2	0.5	0.1	5	Borda	48	480	{0, 1, 3}	0.2960042953491211	no-error	(0, 1, 3)	0.06969881057739258
3	5	0.5	0.1	4	Borda	48	480	{1}	0.7386746406555176	no-error	(1,)	0.06856679916381836
5	3	0.5	0.1	0	Borda	48	480	{4}	0.4637606143951416	no-error	(4,)	0.07631897926330566
5	3	0.5	0.1	9	Borda	48	480	{1}	0.49400806427001953	no-error	(1,)	0.07257723808288574
3	5	0.5	0.1	6	Borda	48	480	{0}	0.7619962692260742	no-error	(0,)	0.07240724563598633
5	3	0.5	0.1	2	Borda	48	480	{0}	0.46512699127197266	no-error	(0,)	0.0718541145324707
5	3	0.5	0.1	4	Borda	48	480	{0}	0.4610733985900879	no-error	(0,)	0.07259273529052734
5	3	0.5	0.1	6	Borda	48	480	{1}	0.46586012840270996	no-error	(1,)	0.07360148429870605
5	3	0.5	0.1	8	Borda	48	480	{1, 4}	0.49857091903686523	no-error	(0, 1, 3, 4)	0.07532358169555664
3	5	0.5	0.1	8	Borda	48	480	{1}	0.7609872817993164	no-error	(1,)	0.07502031326293945
5	3	0.5	0.1	1	Borda	48	480	{1}	0.49558258056640625	no-error	(1,)	0.0787510871887207
3	5	0.5	0.1	1	Borda	48	480	{0, 1}	0.7576854228973389	no-error	(0, 1)	0.07464861869812012
5	3	0.5	0.1	3	Borda	48	480	{0}	0.4706106185913086	no-error	(0,)	0.07249307632446289
5	3	0.5	0.1	7	Borda	48	480	{3}	0.48432016372680664	no-error	(3,)	0.07332491874694824
3	5	0.5	0.1	3	Borda	48	480	{1}	0.7633121013641357	no-error	(1,)	0.0717000961303711
3	5	0.5	0.1	5	Borda	48	480	{0}	0.7525482177734375	no-error	(0,)	0.07281184196472168
3	5	0.5	0.1	7	Borda	48	480	{0}	0.749309778213501	no-error	(0,)	0.07056760787963867
3	5	0.5	0.1	0	Borda	48	480	{0}	0.7509274482727051	no-error	(0,)	0.0715951919555664
3	5	0.5	0.1	9	Borda	48	480	{0}	0.755436897277832	no-error	(0,)	0.08143806457519531
5	3	0.5	0.1	5	Borda	48	480	{2}	0.490220308303833	no-error	(2,)	0.07207512855529785
3	5	0.5	0.1	2	Borda	48	480	{0}	0.7482757568359375	no-error	(0, 1)	0.07141613960266113
4	5	0.5	0.1	7	Borda	48	480	{0}	0.7596457004547119	no-error	(0,)	0.07171130180358887
5	4	0.5	0.1	5	Borda	48	480	{1}	0.7060668468475342	no-error	(1,)	0.07484984397888184
4	5	0.5	0.1	0	Borda	48	480	{2}	0.7724380493164062	no-error	(2,)	0.07288265228271484
4	5	0.5	0.1	9	Borda	48	480	{2}	0.7682862281799316	no-error	(2,)	0.07653331756591797
5	4	0.5	0.1	7	Borda	48	480	{1}	0.7419149875640869	no-error	(1,)	0.07778453826904297
4	5	0.5	0.1	2	Borda	48	480	{0}	0.7930800914764404	no-error	(0,)	0.07529497146606445
5	4	0.5	0.1	0	Borda	48	480	{0}	0.8350346088409424	no-error	(0,)	0.08388233184814453
5	4	0.5	0.1	9	Borda	48	480	{1}	0.7560241222381592	no-error	(1,)	0.07532954216003418
4	5	0.5	0.1	4	Borda	48	480	{0}	0.7979140281677246	no-error	(0,)	0.07811999320983887
5	4	0.5	0.1	2	Borda	48	480	{1}	0.7806377410888672	no-error	(1,)	0.07937335968017578
4	5	0.5	0.1	6	Borda	48	480	{0}	0.8061230182647705	no-error	(0,)	0.08047294616699219
4	5	0.5	0.1	8	Borda	48	480	{0}	0.8132848739624023	no-error	(0,)	0.07692432403564453
4	5	0.5	0.1	1	Borda	48	480	{0}	0.8221685886383057	no-error	(0,)	0.08070969581604004
5	4	0.5	0.1	4	Borda	48	480	{0}	0.7667582035064697	no-error	(0,)	0.07735562324523926
5	4	0.5	0.1	6	Borda	48	480	{0}	0.6807765960693359	no-error	(0,)	0.08125090599060059
5	4	0.5	0.1	8	Borda	48	480	{1}	0.7928752899169922	no-error	(1,)	0.07839035987854004
4	5	0.5	0.1	3	Borda	48	480	{1}	0.8002455234527588	no-error	(1,)	0.07772493362426758
5	4	0.5	0.1	1	Borda	48	480	{1}	0.7870995998382568	no-error	(1,)	0.0773618221282959
4	5	0.5	0.1	5	Borda	48	480	{1}	0.8057847023010254	no-error	(1,)	0.07667708396911621
5	4	0.5	0.1	3	Borda	48	480	{0}	0.746117115020752	no-error	(0,)	0.07879042625427246
5	5	0.5	0.1	5	Borda	48	480	{0}	1.3202104568481445	no-error	(0,)	0.08809995651245117
5	5	0.5	0.1	7	Borda	48	480	{1}	1.3081789016723633	no-error	(1,)	0.0883476734161377
5	5	0.5	0.1	0	Borda	48	480	{4}	1.264397144317627	no-error	(4,)	0.0885009765625
5	5	0.5	0.1	9	Borda	48	480	{1}	1.1054635047912598	no-error	(1,)	0.09258008003234863
5	5	0.5	0.1	2	Borda	48	480	{0}	1.2254397869110107	no-error	(0,)	0.08798789978027344
5	5	0.5	0.1	4	Borda	48	480	{0}	1.3525724411010742	no-error	(0,)	0.0862729549407959
5	5	0.5	0.1	6	Borda	48	480	{0}	0.9913818836212158	no-error	(0,)	0.08619260787963867
5	5	0.5	0.1	8	Borda	48	480	{0, 1}	1.3595564365386963	no-error	(0, 1)	0.09102654457092285
5	5	0.5	0.1	1	Borda	48	480	{0}	1.1565041542053223	no-error	(0,)	0.0868692398071289
5	5	0.5	0.1	3	Borda	48	480	{3}	1.343806266784668	no-error	(3,)	0.0854959487915039
5	6	0.5	0.1	6	Borda	48	480	{0}	1.8711473941802979	no-error	(0,)	0.08857512474060059
6	5	0.5	0.1	3	Borda	48	480	{1}	34.99302291870117	no-error	(1,)	0.21674561500549316
5	6	0.5	0.1	8	Borda	48	480	{0}	3.256147861480713	no-error	(0,)	0.21654391288757324
5	6	0.5	0.1	1	Borda	48	480	{0}	3.476958751678467	no-error	(0,)	0.22923517227172852
5	6	0.5	0.1	3	Borda	48	480	{2}	3.686661720275879	no-error	(2,)	0.22603130340576172
5	6	0.5	0.1	5	Borda	48	480	{0}	3.2118775844573975	no-error	(0,)	0.23442649841308594
6	5	0.5	0.1	5	Borda	48	480	{0}	22.976341009140015	no-error	(0,)	0.2147831916809082
5	6	0.5	0.1	7	Borda	48	480	{2}	3.197171211242676	no-error	(2,)	0.21743440628051758
6	5	0.5	0.1	7	Borda	48	480	{1}	62.80727005004883	no-error	(1, 3)	0.43473029136657715
5	6	0.5	0.1	0	Borda	48	480	{1}	6.146527290344238	no-error	(1,)	0.4418306350708008
6	5	0.5	0.1	0	Borda	48	480	{2}	56.57866978645325	no-error	(2,)	0.43834638595581055
6	5	0.5	0.1	9	Borda	48	480	{1}	60.31520414352417	no-error	(1,)	0.4415147304534912
6	5	0.5	0.1	2	Borda	48	480	{0}	53.348583936691284	no-error	(0,)	0.49803638458251953
6	5	0.5	0.1	4	Borda	48	480	{0}	35.271713972091675	no-error	(0,)	0.5115640163421631
5	6	0.5	0.1	9	Borda	48	480	{0}	7.209579229354858	no-error	(0,)	0.525815486907959
6	5	0.5	0.1	6	Borda	48	480	{1}	40.041584730148315	no-error	(0, 1, 2)	0.47998833656311035
5	6	0.5	0.1	2	Borda	48	480	{1}	6.452173709869385	no-error	(1,)	0.5479342937469482
